('155', '3a47695428d0463a93124e45c390a708b68b6023', 0.9263070416828638)
('806', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.6903600449969244)
('806', '258c36ae087c1615485201c98ef760f881be1b05', 0.6612297011910596)
('25', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.6340115932439142)
('38', '571b8de867ba2273755297f25e5b5480ce9f6ca6', 0.6038634677670824)
('783', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.5968321125090708)
('246', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.5806245811891304)
('783', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.5761101485677034)
('291', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.5676079022010594)
('639', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.5606385580919658)
('714', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.5288456456135)
('388', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.4899576152722206)
('783', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.46195985945705664)
('219', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.4611128251617688)
('708', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.43737791192093933)
('783', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.4166086644751321)
('783', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.41224395560679106)
('224', '018c8de5b275732598f7709693787fdd313392e0', 0.3949372636112104)
('783', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.39318240078718075)
('783', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.39263588318135323)
('260', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.3857069274270338)
('25', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.3829205328580562)
('753', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.38087593547827614)
('783', '08f7da201f696c98f68c52215dced2992302258a', 0.37563496664400664)
('523', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.36979635839968145)
('221', '9c2e95f66bf2a56327e0e4b382795a586766c173', 0.3669667066114686)
('291', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.36306481867470025)
('697', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.35184921776594547)
('783', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.35128448413332464)
('835', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.34222150762738907)
('717', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.3316557739837642)
('783', 'f6cb0e014d5eab9e48d4b589ee6c56d34bfbe764', 0.32123722535879956)
('783', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.3155457665611368)
('714', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.2976487760862166)
('761', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.29387124952053273)
('783', '36f750a10a637744da8834e834500d6d55ed96f7', 0.2912661381968497)
('717', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.29004603895272074)
('25', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.27790088048754247)
('783', '039da3491a462fed46876dfe26135961642db286', 0.2760436953644867)
('632', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.275567746043192)
('850', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.270843806464957)
('632', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.24949179887053582)
('669', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.2435438729118309)
('806', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.2407470295672513)
('158', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.23433288313198686)
('835', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.23360433794312005)
('209', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.22615696331432913)
('783', '0c930de8a92e0f740d05d44f54e065c4e35a4b4a', 0.2238381112742711)
('163', '039da3491a462fed46876dfe26135961642db286', 0.22366638908505343)
('761', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.2217235128955893)
('783', 'ba302cd81b1328df91ea526f5c002e066bea1df3', 0.21787727626779596)
('783', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.21340823198471282)
('717', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.20985552136193944)
('593', '2dd75fbec40e062c2f242c232a17cb30d5253a4c', 0.20983727723398302)
('158', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.20743467591778553)
('717', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.20624962377381428)
('593', '0c930de8a92e0f740d05d44f54e065c4e35a4b4a', 0.2028972163825988)
('717', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.2006408173948635)
('835', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.198015032112718)
('783', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.1963294062500918)
('414', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.19590440693849173)
('291', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.1949084013417764)
('523', '6645dbd87063e7cb8086fa0ec7294e6fb19e20fb', 0.19304575839370192)
('835', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.1894506849219714)
('727', '6d6b7bd6cfc674849a590e78cac21c1a0cc74d6a', 0.1869291106586921)
('441', '3a174c64ee64d397f3f2355a486b49e7cf3358c1', 0.18675855547641795)
('714', '00bffd54bce6c706e0a976c70e4fc0a7d4d5291b', 0.18667258023392636)
('25', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.18487427614939184)
('158', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.18477744133221788)
('783', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.1843442393133514)
('291', 'cd17f62c886cd76a35f38138c31890df80698168', 0.18431924274886602)
('669', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.18281755318176132)
('783', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.18199153931420875)
('25', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.17961976114027603)
('714', '258c36ae087c1615485201c98ef760f881be1b05', 0.17918457260299325)
('593', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.17496396830155034)
('158', '9f831b7c7c254d395ea71c00318811cb82ffa468', 0.17365179421282967)
('717', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.17241420812102767)
('25', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.17189884946711254)
('850', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.17019508397501337)
('25', '018c8de5b275732598f7709693787fdd313392e0', 0.16772396430450184)
('838', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.16736614539590838)
('593', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.16672483150648676)
('25', 'a73f47a1cbd3a2e072c46f283ca08f3c4c54fdf0', 0.1652479763689849)
('714', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.16391203590818468)
('25', 'cd17f62c886cd76a35f38138c31890df80698168', 0.16357585795178567)
('714', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.16033203476752733)
('717', '0c8be1ef079b0ab961d46bbe7ba9136124e882a2', 0.16011651325734405)
('501', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.15949811951718784)
('727', '4acfbcefbbb54282e2a7f97014057c35ed55a49c', 0.15920236759267783)
('717', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.15893561893211677)
('727', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.15761517138345957)
('717', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.15749238970990792)
('526', '89015048b496fe08588b89f97e5fea6802100767', 0.1574469551470967)
('708', 'e1217d20bc010b5d4a935b3323b287d3e1932710', 0.15540665897248615)
('727', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.15492060091221305)
('717', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.1534246862387102)
('850', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.15058483825538543)
('850', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.14897925764429407)
('697', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.1486485037945938)
('593', '36f750a10a637744da8834e834500d6d55ed96f7', 0.14752942013674494)
('639', 'a344ff0e1c29b1710034cf7a6a1d41450be775ee', 0.14642466943718585)
('727', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.14616969161213808)
('783', 'e06ac6779b32f55c4e88cdfba29ac22144aa7258', 0.14575874865876384)
('806', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.14508222467891033)
('697', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.14505204216104847)
('163', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.14504158450429308)
('219', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.14493558204597146)
('783', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.14475591265842408)
('192', '039da3491a462fed46876dfe26135961642db286', 0.14420833940122732)
('783', '3b4c13dacf4750bc5459dc3acfe31b42c9214ee1', 0.14360320778036076)
('850', '6d63a8bbf24437969f5bb85acb05988ec8626e2b', 0.14243837805629053)
('219', '6747f3a416d0a021513fdca8e0e59d30414b3d59', 0.14223164606545743)
('717', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.14208223696609348)
('783', '25b898397b3f59b2b6f72c1e4c46e81a4024ab3d', 0.1400789968937149)
('414', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.13975915867354347)
('714', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.1396680361340249)
('593', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.13922755730952388)
('717', 'f4563e07cfa9396658791af9e087f31c5ec0fe38', 0.13722935309042075)
('783', 'cf89c4f561c87a9e8dc9b37f8dab259ec77fc372', 0.13539606572462293)
('714', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.13512940678023647)
('669', 'cd17f62c886cd76a35f38138c31890df80698168', 0.13438322362708813)
('639', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.13397070819447549)
('260', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.13324582147359293)
('501', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.13291628546658565)
('388', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.13271008529024836)
('593', '1b762294695157d14ca61db1d0aff8d7fa2a655c', 0.13141128422265852)
('38', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.1313431609116587)
('669', 'd20017c43ddb1bb715d61f1489b669dec6be21cd', 0.1311311185688274)
('835', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.1289730067055032)
('192', '2d6c4cf83200dbf6e6fdd004acb4f14831023fac', 0.1275644378603409)
('221', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.12713147404276212)
('593', 'b69b8d67e09d22470cf8fdba898e8e6aaf628d0c', 0.12641327033197913)
('717', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.12638194791014926)
('526', 'd056999d873659901a1eec6647ebe0fa415a9274', 0.12627202253981024)
('163', '36f750a10a637744da8834e834500d6d55ed96f7', 0.12562930799693292)
('850', 'f5bb6a60caa6b036815ac72037dfe05ced00e8be', 0.12522246032132253)
('219', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.12458025295378979)
('697', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.12438527808039278)
('25', '2da7633cf206120d5b20f41c2d2ccc3848f565ef', 0.12334907120627996)
('714', '039da3491a462fed46876dfe26135961642db286', 0.12323009866679313)
('697', '34efb8786998ad1ce2ced58bd69b1cecd2889836', 0.12307673294283837)
('192', '5397a587bdc3553547e9bd1ec134731c807d20e2', 0.12233137701904093)
('850', '08f7da201f696c98f68c52215dced2992302258a', 0.12204310142887419)
('246', '037c9488f6ec1d6980749423ee341145e5c3501a', 0.12160212796899508)
('219', '529f3990a62d1ff5be8188176838b7f2de9207f2', 0.12090315322804085)
('697', 'd1932884ee19a5ec819788e5f33b4c5f38b0dd37', 0.12032762553043658)
